Track ID,Titel,Artist,ISRC,Popularity
7vfWgVGiLgnGbInU5lvSQg,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",USUM71509342,8
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,USUM71805170,81
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,"DJ Snake, Justin Bieber",QMZSY1600015,6
1brwdYwjltrJo7WHpIvbYt,Faded,Alan Walker,NOG841549010,4
6syOdAs4IK8kPWR7gDyjRw,Congratulations,"Post Malone, Quavo",USUM71614484,3
7IHOIqZUUInxjVkko181PB,Stay With Me,Sam Smith,GBUM71308833,0
7BPw9h8vCIX94N0rjFU12S,Cheap Thrills,Sia,USRC11502935,55
53B2XmmjJ9rriW1qciMBeX,Treat You Better,Shawn Mendes,USUM71604711,1
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",GBARL1401524,88
1F2HXIJrE2Xn81OzT2zZvW,Unforgettable,"French Montana, Swae Lee",USSM11703478,2
4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,USRC11400498,84
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",USUM71805272,75
6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),"Major Lazer, Justin Bieber, MØ",QMUY41600027,3
1ds2QsfhAAfRiaFMGDzrdb,What Do You Mean?,Justin Bieber,USUM71511919,4
4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),"Luis Fonsi, Daddy Yankee",USUM71607007,6
23ihGIrYOSzNNGJ6STAxI4,7 Years,Lukas Graham,USWB11506516,66
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,USRC11600876,80
1WP1r7fuvRqZRnUaTi2I1Q,Stitches,Shawn Mendes,USUM71500658,2
4fTHdMTq0Znl3djLI1Typn,Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",USUS11202574,50
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,"Calvin Harris, Rihanna",GBARL1600460,81
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,USAT21602948,90
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",USSM11600251,79
1MDoll6jK4rrk2BcFRP5i7,Hello,Adele,GBBKS1500214,4
3X38ErFiKgzUxinBlhwuWm,Can't Feel My Face,The Weeknd,USUG11500741,1
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,USAT21601930,84
7wqSzGeodspE3V6RBD5W8L,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",USAT21500313,3
6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,USUM71201074,6
7wrDRQgHlvDnimrRHfQZxt,Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign",USUM71710836,1
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Anne-Marie, Sean Paul",GBAHS1600363,74
4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,USAT21700928,6
72Q0FQQo32KJloivv5xge2,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",USSM11703300,3
14WWzenpaEgQZlqPq2nk4v,Work,"Rihanna, Drake",QM5FT1600116,4
3NdDpSvN911VPGivFlV5d0,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",USQ4E1602586,1
3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",SEBGA1700015,81
6lDo13SSgTv0WbyUQKgnjk,Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG",QMUY41500182,14
2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,"J Balvin, Willy William",FR22F1701790,3
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",USAT21502909,81
6DrBnEWZ5kxvBiBaDaGQnc,Sugar,Maroon 5,USUM71410340,0
0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,Sam Smith,GBUM71704089,0
2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,USAT21500598,86
1UfBAJfmofTffrae5ls6DA,Hotline Bling,Drake,USCM51500238,6
46THN9jjPWhSqFUu6YsBhv,Panda,Desiigner,USUM71601094,5
0bAkKNCQfWkexHFn7fIKns,In My Feelings,Drake,USCM51800206,2
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,"Martin Garrix, Bebe Rexha",NLM5S1600003,81
2Aa1wE8ofs2tu59TOQrZKW,Cake By The Ocean,DNCE,USUM71514637,2
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I","G-Eazy, Bebe Rexha",USRC11502210,81
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",USAT21500555,78
0r4SsYcwvd8URat6AS2m6f,Lush Life,Zara Larsson,SEWEE1500509,4
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",USAT21601051,76
7y2YUIyCuVhBidENVT0068,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,GBUM71406823,2
5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,"Logic, Alessia Cara, Khalid",USUM71702778,0
4RepvCWqsP6zBuzvwYibAS,I Feel It Coming,"The Weeknd, Daft Punk",USUG11601012,8
0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),"Zedd, Alessia Cara",USUM71700736,7
79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Shawn Mendes,USUM71702833,6
2mdxJLJHzFmiiYdTZ8JcyH,I Fall Apart,Post Malone,USUM71614475,1
11KJSRSgaDxqydKYiD2Jew,Too Good,"Drake, Rihanna",USCM51600088,2
3rOSwuTsUlJp0Pu0MkN8r8,Mask Off,Future,USSM11701444,55
2zDt2TfQbxiSPjTVJTgbwz,Starving,"Hailee Steinfeld, Grey, Zedd",USUM71606370,1
7vGuf3Y35N4wmASOKLUVVU,Silence,"Marshmello, Khalid",USRC11701901,81
6OZh916QF8XNunWaP97WEZ,Fast Car,"Jonas Blue, Dakota",GBUM71507621,7
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",GBAHS1300498,76
0IKK48xF4eEdfofyaeKWWO,PILLOWTALK,ZAYN,USRC11600042,65
66qlqxhEMpSHOzjRK4il0b,Castle on the Hill,Ed Sheeran,GBAHS1600462,3
15vzANxN8G9wWfwAJLLMCg,Paris,The Chainsmokers,USQX91603031,68
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",USWB11700237,72
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",DEA621501057,82
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",GBARL1800368,82
7LOnWbR6p2YqaGDWQPP8jJ,IDGAF,Dua Lipa,DEUM71601957,0
3FWPoYBDserKdzcattMFGa,Roses (feat. ROZES),"The Chainsmokers, ROZES",USQX91500801,64
3twQx3psUMJKj4wna5d1zU,Trap Queen,Fetty Wap,QM7XC1400004,42
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,GBAHS1700026,83
152lZdxL1OR0ZMW6KquMif,Location,Khalid,TCACO1662934,79
2sNvitW3TxiTeC9xT9f2ZZ,Firestone,"Kygo, Conrad Sewell",SEBGA1400887,4
5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",Pharrell Williams,USQ4E1300686,8
7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,USWB11503046,79
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,"Calvin Harris, Disciples",GBARL1500704,79
2Fn3coxd0xAZ09JtrgcgHa,Middle,"DJ Snake, Bipolar Sunshine",USUM71515784,2
4iZPNYqzI2L0uwuUKun7Aa,Stole the Show,"Kygo, Parson James",SEBGA1500071,58
4WGyY671Z37inSpCTBJoIm,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,USUG11401951,1
3kfxarilcBr81mb2hmZLeh,Needed Me,Rihanna,QM5FT1600118,1
4pLwZjInHj3SimIyN9SnOz,Side To Side,"Ariana Grande, Nicki Minaj",USUM71602107,5
7zrYKlgYQv1ELz7LGyjTd1,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",USUM71409737,1
7b71WsDLb8gG0cSyDTFAEW,Summer,Calvin Harris,GBARL1400296,19
4kgsK0fftHtg9gZOzkU5T2,Dark Horse,"Katy Perry, Juicy J",USUM71311296,3
6WLS56xiRrXjSm9RSdL3zD,Never Forget You,"Zara Larsson, MNEK",SEWEE1500801,2
3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,USNLR1300728,4
5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",DEA621400286,77
6fNhZRFEkBfgW39W3wKARJ,Pompeii,Bastille,GBAAA1200795,79
3tCwjWLicbjsMCvXhN0WOE,Rude,MAGIC!,CAV161300016,67
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,USRC11401949,88
1zHlj4dQ8ZAtrayhuDDmkY,Timber,"Pitbull, Kesha",USRC11301695,57
6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,USAT21500384,79
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,"Maroon 5, Kendrick Lamar",USUM71609975,2
0gb1J5UrTpzaU1s3nupgCd,No Money,Galantis,USAT21600941,69
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),"Calvin Harris, John Newman",GBARL1400567,84
6HFbq7cewJ7rPiffV0ciil,A Sky Full of Stars,Coldplay,GBAYE1400217,59
1VbhR6D6zUoSTBzvnRonXO,I'm Not The Only One,Sam Smith,GBUM71308836,0
4b7FMWTw3y69EahB3h0Cd4,Sex (Cheat Codes X Kris Kross Amsterdam),"Cheat Codes, Kris Kross Amsterdam",NLZ541600026,0
6N9ZOtguCnnrvwH7zD82WJ,GDFR (feat. Sage the Gemini & Lookas),"Flo Rida, Sage The Gemini, Lookas",USAT21404117,57
1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,"Jonas Blue, JP Cooper",GBUM71602437,5
2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,USWB11304681,59
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"Mike Perry, shy martin",SE3AA1600005,70
3yvZ1VUso9Xi7EvIyLaj4o,Royals,Lorde,NZUM71200031,2
4OJKPoqK5oMdPmAuT4V8Lg,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",NLB8R1400002,0
4AOpEhqA7zHxQjkHmRrAp7,This Girl - Kungs Vs. Cookin' On 3 Burners,"Kungs, Cookin' On 3 Burners",FR9W11601798,5
4Ld3RS6KBXGsvtfmnjxlVl,El Perdón (with Enrique Iglesias),"Nicky Jam, Enrique Iglesias",USSD11500005,2
7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,USUM71601827,6
0ifSeVGUr7py5GggttDhXw,All About That Bass,Meghan Trainor,USSM11401317,61
46gjYTEK7W8ZTABcglGP2f,Jumpman,"Drake, Future",USCM51500300,2
7gBj0VgcuAgkXkiRRYvSmK,Stay (feat. Maty Noyes),"Kygo, Maty Noyes",SEBGA1500364,57
5eCgNATwXgRc4mZx9NymGJ,Waiting For Love,Avicii,CHB701400134,2
7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),"R. City, Adam Levine",USRC11501369,83
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",GBARL1401201,88
5XzmZjXhMjDHr7ZfJ6DELQ,FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney",USJMT1500001,5
0DKT3yIip1M0W0J1HYS1ru,Maps,Maroon 5,USUM71407116,0
5kBHXns5U8pjLWGwtbhT8d,Are You with Me,Lost Frequencies,NLF711403495,0
3cySlItpiPiIAzU3NyHCJf,Problem,"Ariana Grande, Iggy Azalea",USUM71405403,0
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,"Pitbull, Ne-Yo",USRC11402647,87
5afHIkEcVhCF1Z1CTqMUXB,Ain't Nobody (Loves Me Better),"Felix Jaehn, Jasmine Thompson",DEUM71500425,3
6kBp8w67thoYqTUOQVSGFg,Good For You,"Selena Gomez, A$AP Rocky",USUM71508454,0
6ZSO7kPn8IMJFymyticbJO,Gold,Kiiara,USAT21503773,66
1T7Htpf1kEvU9Adf8J0ekk,Break Free,"Ariana Grande, Zedd",USUM71409719,5
6kwAbEjseqBob48jCus7Sz,Elastic Heart,Sia,USRC11400976,81
4O594chXfv4lHvneDP0Ud0,Animals,Maroon 5,USUM71409576,0
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",GB28K1400058,75
41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",USSM11406644,80
1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",GMM881200003,67
5U8hKxSaDXB8cVeLFQjvwx,The Monster,"Eminem, Rihanna",USUM71314082,3
0Rz1KXsP4bhGxs0ffySSSn,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",USUM71307668,1
2OR6U0ofkWeQgNCyaHxwoc,Fancy,"Iggy Azalea, Charli xcx",GBUM71400597,31
3zKST4nk4QJE77oLjUZ0Ng,Hey Brother,Avicii,CH3131340084,8
1huvTbEYtgltjQRXzrNKGi,Don't,Ed Sheeran,GBAHS1400090,75
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,GBAYE1500981,87
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),"David Guetta, Sia",GB28K1100036,85
3miMZ2IlJiaeSWo1DohXlN,Stolen Dance,Milky Chance,DEL211300741,0
0QCkYWRZo64iY71NxAvOU7,Burn,Ellie Goulding,GBUM71303482,0
3bDGwl0X3EjQmIyFD1uif5,Roar,Katy Perry,USUM71308669,4
0VYQK5I08homNvX8SRS37R,Heroes (we could be),Alesso,USUG11401536,2
5k0mTv94djzbl1HvhxjXPn,Sail,AWOLNATION,USP6L1000053,1
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Galantis,USAT21404265,78
70OTIpw8x8UXUsuCHW9i1i,Drag Me Down,One Direction,GBHMU1500070,0
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,USAT21203287,91
6jdOi5U5LBzQrc4c1VT983,"Hold On, We're Going Home","Drake, Majid Jordan",USCM51300762,78
14fmbvjYLqRZEXz1VZdM2M,We Found Love,"Rihanna, Calvin Harris",USUM71115507,2
51ODNNDZm21HU7wI7cccRr,Latch,"Disclosure, Sam Smith",GBUM71302810,84
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,GBAYE1500979,86
3CJvmtWw2bJsudbAC5uCQk,Hands To Myself,Selena Gomez,USUM71513592,71
53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),"David Guetta, Fetty Wap, Sia",GB28K1500110,62
1mwt9hzaH7idmC5UCoOUkz,Diamonds,Rihanna,USUM71211793,1
6YwLgicpvVuMt1eE2OldwQ,Five More Hours,"Deorro, Chris Brown",USUS11203275,68
6PtXobrqImYfnpIxNsJApa,Bad (feat. Vassy) - Radio Edit,"David Guetta, Showtek, VASSY",GB28K1400007,66
1jdNcAD8Ir58RlsdGjJJdx,Ho Hey,The Lumineers,USDMG1260805,1
1aKsg5b9sOngINaQXbB0P7,Love Me Harder,"Ariana Grande, The Weeknd",USUM71409728,1
6md4w95cnKaW64JyEQ3A0L,Somebody That I Used To Know,"Gotye, Kimbra",AUZS21100040,69
7pqgMEKsDMOHUdFQ7n0N9K,Dangerous (feat. Sam Martin),"David Guetta, Sam Martin",GB28K1400036,73
7GJClzimvMSghjcrKxuf1M,Budapest,George Ezra,GBARL1400477,4
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",USQX91300809,82
5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",USWB11302648,76
27jdUE1EYDSXZqhjuNxLem,Magic,Coldplay,GBAYE1400206,57
2OlWBmSjf1aUPGLNf0UI5A,One Last Time,Ariana Grande,USUM71409723,1
6BnONjR7itGMEqwxKTIlRM,Safe And Sound,Capital Cities,USCA21203108,2
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",GBAAA1200728,83
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am",GBARL1201055,83
7h8Ud480Fm4ReUVxgFF9ZX,Rolling In The Deep,Adele,GBBKS1000335,1
6K8qKeWo5MsFED7wCR6Kop,Sing,Ed Sheeran,GBAHS1400082,71
3jfr0TF6DQcOLat8gGn7E2,Do I Wanna Know?,Arctic Monkeys,GBCEL1300362,2
13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,USWB11301764,75
5a7NdkF09AfD0H607eiOkX,On My Mind,Ellie Goulding,GBUM71505456,70
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"JAY-Z, Kanye West",USUM71111621,20
5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),"Fetty Wap, Remy Boyz",QMCE31500250,78
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,USRC11301214,83
5TvE3pk05pyFIGdSY9j4DJ,Say Something,"A Great Big World, Christina Aguilera",USSM11306713,70
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,USAT21206701,90
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",USRC11200786,87
5unfeZUhKhICP73CDYBW4N,Call Me Maybe,Carly Rae Jepsen,CAB391100615,1
3OwPSJu609AMzotCEyoMiO,The Nights,Avicii,CH3131340464,4
2S5LNtRVRPbXk01yRQ14sZ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida, Robin Thicke, Verdine White",USAT21500395,68
6jizk5lOUnfpaZXYMdfeC6,Trumpets,Jason Derulo,USWB11303249,69
4B4zDmbHdkXZ1wUJv1yKFy,Wiggle (feat. Snoop Dogg),"Jason Derulo, Snoop Dogg",USWB11400672,67
6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",USAT21500254,67
3ehrxAhYms24KLPG8FZe0W,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",USAT21101399,55
2ihCaVdNZmnHZWt0fvAM7B,Little Talks,Of Monsters and Men,USUM71119106,83
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,USRC11300059,85
6YhDHby2eVeENKJNa7C2z6,I Really Like You,Carly Rae Jepsen,USUM71501431,0
72FNf7DAlWLmuHiLTBcNHY,Hold Back The River,James Bay,USUM71413733,69
05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",GBARL1201390,76
71vsEyBd4X1D5BUmLdFSVH,Black Widow,"Iggy Azalea, Rita Ora",GBUM71401093,70
4SNtBMJa7Wpk1tJzMSUv9B,King,Olly Alexander (Years & Years),GBUM71406892,0
3bNxaDD8VTJTZvHQPuXSWQ,Stay High - Habits Remix,"Tove Lo, Hippie Sabotage",SEUM71400257,0
1RjUaJM9aKGixVZlbcFUZv,Team,Lorde,NZUM71300124,0
67awxiNHNyjMXhVgsHuIrs,Turn Down for What,"DJ Snake, Lil Jon",USSM11308174,73
4eLSCSELtKxZwXnFbNLXT5,On Top Of The World,Imagine Dragons,USUM71201073,5
1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,GBAHS1100095,75
5vXnH99Tn0qAh84SWU5sfc,Talking Body,Tove Lo,SEUM71401533,57
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars",USAT21102232,78
5M830cD7MNeiiwIGHzH9TV,Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",GBUM71400955,74
2Pavqy0vPxGilGe0IIetdP,Geronimo,Sheppard,AUIYA1400002,1
